FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1009,CLT,"Charlotte, NC",NC,36,CVG,"Cincinnati, OH",KY,52,2231,2224,2359,2340,0,0,335
1/1/2022 0:00,AA,1448,CLT,"Charlotte, NC",NC,36,CVG,"Cincinnati, OH",KY,52,1809,1817,1936,1932,0,0,335
1/1/2022 0:00,AA,1620,PHX,"Phoenix, AZ",AZ,81,CVG,"Cincinnati, OH",KY,52,1045,1042,1619,1557,0,0,1569
1/1/2022 0:00,AA,2309,DFW,"Dallas/Fort Worth, TX",TX,74,CVG,"Cincinnati, OH",KY,52,1015,1108,1323,1403,0,0,812
1/1/2022 0:00,AA,2345,DFW,"Dallas/Fort Worth, TX",TX,74,CVG,"Cincinnati, OH",KY,52,1445,1441,1753,1746,0,0,812
1/1/2022 0:00,AA,3021,ORD,"Chicago, IL",IL,41,CVG,"Cincinnati, OH",KY,52,820,1132,1040,1415,0,0,264
1/1/2022 0:00,AA,3035,ORD,"Chicago, IL",IL,41,LEX,"Lexington, KY",KY,52,1757,1753,2031,2146,0,0,323
1/1/2022 0:00,AA,3507,DCA,"Washington, DC",VA,38,CVG,"Cincinnati, OH",KY,52,1010,1029,1157,1209,0,0,411
1/1/2022 0:00,AA,3559,MIA,"Miami, FL",FL,33,CVG,"Cincinnati, OH",KY,52,840,839,1128,1119,0,0,948
1/1/2022 0:00,AA,3650,DFW,"Dallas/Fort Worth, TX",TX,74,LEX,"Lexington, KY",KY,52,2041,2136,2349,100,0,0,785
1/1/2022 0:00,AA,3676,MIA,"Miami, FL",FL,33,CVG,"Cincinnati, OH",KY,52,1930,2142,2218,17,0,0,948
1/1/2022 0:00,AA,3825,ORD,"Chicago, IL",IL,41,SDF,"Louisville, KY",KY,52,1720,,1943,,1,0,286
1/1/2022 0:00,AA,3914,DFW,"Dallas/Fort Worth, TX",TX,74,LEX,"Lexington, KY",KY,52,1630,1639,1933,1943,0,0,785
1/1/2022 0:00,AA,3917,MIA,"Miami, FL",FL,33,SDF,"Louisville, KY",KY,52,2100,2124,2343,2351,0,0,910
1/1/2022 0:00,AA,3956,ORD,"Chicago, IL",IL,41,CVG,"Cincinnati, OH",KY,52,1730,2034,1947,2255,0,0,264
