FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,516,616,559,0,0,129
1/1/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,915,2010,2006,0,0,3801
1/2/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,748,846,834,0,0,129
1/2/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,803,1915,1900,0,0,3801
1/3/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,742,846,822,0,0,129
1/3/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,812,1915,1902,0,0,3801
1/4/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,516,616,555,0,0,129
1/4/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,848,2010,1940,0,0,3801
1/5/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,748,846,831,0,0,129
1/5/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,752,1915,1858,0,0,3801
1/6/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,523,616,605,0,0,129
1/6/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,917,2010,2013,0,0,3801
1/7/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,750,846,831,0,0,129
1/7/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,801,1915,1856,0,0,3801
1/8/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,520,616,559,0,0,129
1/8/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,859,2010,1958,0,0,3801
1/9/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,753,846,833,0,0,129
1/9/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,759,1915,1836,0,0,3801
1/10/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,749,846,830,0,0,129
1/10/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,801,1915,1841,0,0,3801
1/11/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,548,616,627,0,0,129
1/11/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,848,2010,1957,0,0,3801
1/12/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,748,846,828,0,0,129
1/12/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,756,1915,1844,0,0,3801
1/13/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,520,616,603,0,0,129
1/13/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,843,2010,1937,0,0,3801
1/14/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,748,846,829,0,0,129
1/14/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,753,1915,1901,0,0,3801
1/15/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,521,616,603,0,0,129
1/15/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,846,2010,1940,0,0,3801
1/16/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,750,846,832,0,0,129
1/16/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,802,1915,1859,0,0,3801
1/17/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,750,846,832,0,0,129
1/17/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,808,1915,1849,0,0,3801
1/18/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,512,616,553,0,0,129
1/18/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,1109,2010,2153,0,0,3801
1/19/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,750,846,834,0,0,129
1/19/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,756,1915,1853,0,0,3801
1/20/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,520,616,601,0,0,129
1/20/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,845,2010,1924,0,0,3801
1/21/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,747,846,829,0,0,129
1/21/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,801,1915,1849,0,0,3801
1/22/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,518,616,608,0,0,129
1/22/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,852,2010,1954,0,0,3801
1/23/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,748,846,829,0,0,129
1/23/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,758,1915,1843,0,0,3801
1/24/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,748,846,829,0,0,129
1/24/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,753,1915,1836,0,0,3801
1/25/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,514,616,555,0,0,129
1/25/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,851,2010,1940,0,0,3801
1/26/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,749,846,828,0,0,129
1/26/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,747,1915,1844,0,0,3801
1/27/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,522,616,601,0,0,129
1/27/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,1019,2010,2132,0,0,3801
1/28/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,749,846,829,0,0,129
1/28/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,759,1915,1849,0,0,3801
1/29/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,530,519,616,603,0,0,129
1/29/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,900,849,2010,1934,0,0,3801
1/30/2022 0:00,UA,116,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,752,846,833,0,0,129
1/30/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,759,1915,1853,0,0,3801
1/31/2022 0:00,UA,174,GUM,"Guam, TT",TT,5,SPN,"Saipan, TT",TT,5,800,748,846,829,0,0,129
1/31/2022 0:00,UA,200,GUM,"Guam, TT",TT,5,HNL,"Honolulu, HI",HI,2,805,812,1915,1906,0,0,3801
